report_date,region,staffed_beds,occupied_beds,adult_covid,covid_per_cap,pediatric_covid,occupied_icu_beds,staffed_icu_beds,adult_covid_icu
2020-07-31,Kansas City,3318.7,2263.7999999999993,174.49999999999997,52.58082984301081,0,219.00000000000003,348.20000000000005,45.7
2020-08-07,Kansas City,3305.1,2253.3999999999996,176.20000000000002,53.31154881849264,4.7,228.89999999999998,343.79999999999995,38.5
2020-08-14,Kansas City,3269.8,2247.4000000000005,179.2,54.804575203376345,5.1,231.79999999999998,349.1,33.199999999999996
2020-08-21,Kansas City,3272.2000000000003,2242.8,165.49999999999997,50.57759305665912,4.7,234.00000000000003,348.6,31.3
2020-08-28,Kansas City,3254.4,2280.2999999999997,165.9,50.977138643067846,5.6,239.2,347.7,32.9
2020-09-04,Kansas City,3152,2236.7,205.09999999999997,65.06979695431471,5.6,237.4,347.5,50.39999999999999
2020-09-11,Kansas City,3156.9,2333.9,208.6,66.07748107320472,0,235,347.90000000000003,41.2
2020-09-18,Kansas City,3154.5,2300.9,206.9,65.58884133777144,5.1,234,347.4,53.800000000000004
2020-09-25,Kansas City,3150.4,2335.100000000001,214.30000000000004,68.02310817673947,7.6,231.60000000000002,346.4,48.00000000000001
2020-10-02,Kansas City,3155,2345.400000000001,236.5,74.96038034865293,4.7,244.89999999999998,347.40000000000003,50.49999999999999
2020-10-09,Kansas City,3161.1,2407.0999999999995,279.1,88.29205023567746,8.4,261.6,350.3,59.5
2020-10-16,Kansas City,3151.5,2365.6,272.7,86.53022370299857,0,255.60000000000005,348.70000000000005,63.7
2020-10-23,Kansas City,3031.4,2204.8,307.40000000000003,101.405291284555,4.9,251.1,345.4,69.9
2020-10-30,Kansas City,2619.8,1999.2999999999997,368,140.4687380716085,5.4,254.8,320.9,76.7
2020-11-06,Kansas City,2536.2999999999997,2030.8999999999999,444.70000000000005,175.3341481685921,7.1,265.5,322.29999999999995,83
2020-11-13,Kansas City,2522.4999999999995,2003.1999999999998,527.4000000000001,209.07829534192277,8.7,277.3,330.2,105.89999999999999
2020-11-20,Kansas City,2540.1,1950.6999999999996,522,205.50372032597141,10,276.6,321.3,115.9
2020-11-27,Kansas City,2523.3,1947.2,516,204.4941148496017,13.6,289.79999999999995,330,113.39999999999999
2020-12-04,Kansas City,2544,2061.1,559.4,219.88993710691824,9.4,277.59999999999997,315.5,102.39999999999999
